;Hora 1;Hora 2;Hora 3;Hora 4;Hora 5;Hora 6;Hora 7;Hora 8;Hora 9;Hora 10;Hora 11;Hora 12;Hora 13;Hora 14;Hora 15;Hora 16;Hora 17;Hora 18;Hora 19;Hora 20;Hora 21;Hora 22;Hora 23;Hora 24
Cliente 40; 0,22 ; 0,11 ; 0,06 ; 0,04 ; 0,06 ; 0,07 ; 0,12 ; 0,40 ; 0,82 ; 0,99 ; 0,94 ; 0,91 ; 0,92 ; 0,89 ; 0,88 ; 0,94 ; 1,09 ; 1,62 ; 2,13 ; 2,28 ; 2,27 ; 2,31 ; 2,17 ; 1,77 
Cliente 41; 0,74 ; 0,60 ; 0,55 ; 0,56 ; 0,56 ; 0,56 ; 0,56 ; 0,59 ; 0,63 ; 0,68 ; 0,76 ; 0,78 ; 0,76 ; 0,81 ; 0,94 ; 1,03 ; 1,20 ; 1,56 ; 1,88 ; 1,97 ; 1,90 ; 1,74 ; 1,49 ; 1,17 
Cliente 42; 1,18 ; 0,80 ; 0,67 ; 0,65 ; 0,64 ; 0,64 ; 0,64 ; 0,64 ; 0,77 ; 0,84 ; 0,78 ; 0,69 ; 0,79 ; 1,00 ; 1,06 ; 0,92 ; 0,77 ; 0,69 ; 0,87 ; 1,33 ; 1,73 ; 1,92 ; 2,02 ; 1,96 
Cliente 43; 0,54 ; 0,55 ; 0,53 ; 0,52 ; 0,51 ; 0,51 ; 0,52 ; 0,51 ; 0,52 ; 0,58 ; 0,62 ; 0,60 ; 0,80 ; 1,10 ; 1,02 ; 0,72 ; 0,57 ; 0,79 ; 1,87 ; 2,52 ; 2,07 ; 1,70 ; 1,92 ; 2,43 
Cliente 44; 0,56 ; 0,52 ; 0,50 ; 0,48 ; 0,48 ; 0,48 ; 0,47 ; 0,50 ; 0,57 ; 0,64 ; 0,71 ; 0,73 ; 0,82 ; 0,89 ; 0,77 ; 0,65 ; 0,89 ; 1,08 ; 1,27 ; 1,82 ; 2,29 ; 2,40 ; 2,34 ; 2,13 
Cliente 45; 1,27 ; 0,92 ; 0,63 ; 0,51 ; 0,51 ; 0,50 ; 0,48 ; 0,49 ; 0,56 ; 0,62 ; 0,60 ; 0,55 ; 0,59 ; 0,67 ; 0,86 ; 0,96 ; 0,81 ; 0,71 ; 1,44 ; 1,95 ; 1,75 ; 2,02 ; 2,32 ; 2,28 
Cliente 46; 0,54 ; 0,53 ; 0,54 ; 0,56 ; 0,55 ; 0,49 ; 0,47 ; 0,50 ; 0,71 ; 0,81 ; 0,67 ; 0,52 ; 0,51 ; 0,50 ; 0,58 ; 0,70 ; 0,89 ; 1,38 ; 1,95 ; 2,08 ; 2,16 ; 2,35 ; 2,26 ; 1,75 
Cliente 47; 0,63 ; 0,64 ; 0,64 ; 0,62 ; 0,60 ; 0,62 ; 0,67 ; 0,69 ; 0,68 ; 0,68 ; 0,68 ; 0,67 ; 0,65 ; 0,65 ; 0,76 ; 0,92 ; 0,90 ; 1,23 ; 1,90 ; 2,17 ; 1,92 ; 1,88 ; 1,78 ; 1,43 
Cliente 48; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,30 ; 1,37 ; 2,32 ; 2,52 ; 2,48 ; 2,48 ; 2,43 ; 2,36 ; 2,49 ; 2,73 ; 2,05 ; 0,70 ; -   ; -   ; -   ; -   ; -   
Cliente 49; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,43 ; 1,43 ; 2,20 ; 2,36 ; 2,46 ; 2,58 ; 2,58 ; 2,50 ; 2,47 ; 2,57 ; 1,93 ; 0,72 ; -   ; -   ; -   ; -   ; -   
Cliente 50; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,49 ; 1,52 ; 2,22 ; 2,31 ; 2,38 ; 2,44 ; 2,43 ; 2,36 ; 2,49 ; 2,79 ; 2,12 ; 0,72 ; -   ; -   ; -   ; -   ; -   
Cliente 51; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,31 ; 1,31 ; 2,17 ; 2,33 ; 2,24 ; 2,23 ; 2,29 ; 2,33 ; 2,40 ; 2,71 ; 2,50 ; 1,27 ; 0,10 ; -   ; -   ; -   ; 0,00 
Cliente 52; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,37 ; 1,39 ; 2,18 ; 2,27 ; 2,22 ; 2,29 ; 2,37 ; 2,34 ; 2,36 ; 2,73 ; 2,48 ; 1,18 ; 0,03 ; -   ; -   ; -   ; 0,00 
Cliente 53; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,44 ; 1,51 ; 2,28 ; 2,32 ; 2,27 ; 2,36 ; 2,46 ; 2,43 ; 2,49 ; 2,76 ; 2,16 ; 0,78 ; -   ; -   ; -   ; -   ; -   
Cliente 54; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,51 ; 1,59 ; 2,30 ; 2,34 ; 2,32 ; 2,36 ; 2,38 ; 2,35 ; 2,41 ; 2,66 ; 2,15 ; 0,85 ; -   ; -   ; -   ; -   ; -   
Cliente 55; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,21 ; 1,22 ; 2,25 ; 2,55 ; 2,46 ; 2,41 ; 2,38 ; 2,38 ; 2,53 ; 2,80 ; 2,20 ; 0,83 ; -   ; -   ; -   ; -   ; -   
Cliente 56; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,45 ; 1,42 ; 2,13 ; 2,27 ; 2,30 ; 2,37 ; 2,42 ; 2,45 ; 2,57 ; 2,83 ; 2,20 ; 0,82 ; -   ; -   ; -   ; -   ; -   
Cliente 57; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,26 ; 1,31 ; 2,28 ; 2,49 ; 2,42 ; 2,41 ; 2,39 ; 2,37 ; 2,51 ; 2,78 ; 2,19 ; 0,84 ; -   ; -   ; -   ; -   ; -   
Cliente 58; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,46 ; 1,55 ; 2,31 ; 2,34 ; 2,29 ; 2,32 ; 2,38 ; 2,42 ; 2,53 ; 2,77 ; 2,13 ; 0,77 ; -   ; -   ; -   ; -   ; -   
Cliente 59; 0,23 ; 0,24 ; 0,23 ; 0,21 ; 0,17 ; 0,26 ; 0,76 ; 1,11 ; 1,07 ; 0,93 ; 0,90 ; 1,13 ; 1,45 ; 1,46 ; 1,17 ; 0,95 ; 0,86 ; 1,51 ; 2,36 ; 2,28 ; 1,63 ; 1,48 ; 1,18 ; 0,46 
Cliente 60; 0,18 ; 0,12 ; 0,11 ; 0,14 ; 0,19 ; 0,18 ; 0,22 ; 0,39 ; 0,70 ; 0,96 ; 1,16 ; 1,31 ; 1,39 ; 1,37 ; 1,25 ; 1,09 ; 0,92 ; 1,43 ; 2,14 ; 2,19 ; 1,62 ; 1,41 ; 1,55 ; 1,95 
